"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","262.1897478099929","189.04336179408963","4.897870411700406","-0.30830037970047425","0.011474609375","0.0068359375","0.01611328125","1500","0.00015677333604519089","0","0.00015677333604519089","0.00015677333604519089","0_1:0.005124792890758567","0_1:660","true"
"1","365.82374053454083","435.02517412350136","4.83795827837736","","0.010009765625","0.013671875","0.00634765625","1500","0.0001316423194295264","0","0.0001316423194295264","0.0001316423194295264","1_2:0.0044768871997212245","1_2:660","true"
"2","319.70671120637166","356.5784590932227","4.654325765877358","-0.3118878799709304","0.02001953125","0.02392578125","0.01611328125","1500","0.0001057171490454261","0","0.0001057171490454261","0.0001057171490454261","2_3:0.008485448489290004","2_3:660","true"
"3","284.89508745760673","312.3685783788758","4.856049687602067","-0.30925864887979854","0.006103515625","0.00537109375","0.0068359375","1500","0.00012257312933723307","0","0.00012257312933723307","0.00012257312933723307","","","true"
"4","367.23863300447215","193.3890167680317","4.909548732052646","-0.30814930861447104","0.01220703125","0.00634765625","0.01806640625","1500","0.0001791661734939051","0","0.0001791661734939051","0.0001791661734939051","4_15:0.006084428146317655;4_3:0.005087780381944851","4_15:660;4_3:660","true"
"5","150.20600998925164","150.41348083151289","4.818213808958664","-0.30958565804365407","0.048583984375","0.0791015625","0.01806640625","1500","0.00030249365249461816","0","0.00030249365249461816","0.00030249365249461816","5_4:0.008836212053150605;5_6:0.008231139682641553","5_4:660;5_6:660","true"
"6","389.19455588580877","97.90972308624252","4.757838429085949","-0.30931899513970895","0.0302734375","0.013671875","0.046875","1500","0.0006006717704109977","0","0.0006006717704109977","0.0006006717704109977","6_7:0.00930301762931418","6_7:660","true"
"7","397.79146022821595","50.981285971488845","4.531988655419644","-0.3153085977514802","0.0205078125","0.0205078125","0.0205078125","1500","0.000177862419179142","0","0.000177862419179142","0.000177862419179142","","","true"
"8","312.64389275471615","48.83870064693523","4.7700659061086474","-0.3107240604358965","0.0107421875","0.0087890625","0.0126953125","1500","0.00026504452063665193","0","0.00026504452063665193","0.00026504452063665193","8_9:0.006003859712911952;8_7:0.006080654320366197","8_9:660;8_7:660","true"
"9","197.34395176802474","309.89242082049606","4.86234323848096","-0.3088384973978332","0.005126953125","0.0048828125","0.00537109375","1500","0.00013359937991836335","0","0.00013359937991836335","0.00013359937991836335","","","true"
"10","270.72082759364025","257.18008646373386","4.774946243932689","-0.3102561917352623","0.0068359375","0.005859375","0.0078125","1500","0.00014797322228248143","0","0.00014797322228248143","0.00014797322228248143","10_9:0.010930741119756116","10_9:660","true"
"11","271.975036639624","129.75282610791882","4.669775280232978","-0.31065439833944936","0.01416015625","0.0107421875","0.017578125","1500","0.00013027063027978245","0","0.00013027063027978245","0.00013027063027978245","11_10:0.005036599006460085;11_12:0.010887482137159843","11_10:660;11_12:660","true"
"12","225.70715615933707","25.421962407137517","4.578205187144865","-0.3092994184637879","0.017822265625","0.01806640625","0.017578125","1500","0.00044613945269482517","0","0.00044613945269482517","0.00044613945269482517","12_17:0.016118920930857594","12_17:660","true"
"13","438.92631337646446","205.03806938318715","4.623295298729947","-0.3132306393256634","0.009765625","0.01513671875","0.00439453125","1500","0.000335931798083618","0","0.000335931798083618","0.000335931798083618","13_12:0.0137212672799919","13_12:660","true"
"14","222.98108515169108","173.03776167243683","4.787964194817709","-0.30900343434313965","0.007080078125","0.0068359375","0.00732421875","1500","0.0002754811934531755","0","0.0002754811934531755","0.0002754811934531755","14_0:0.006944971076504491","14_0:660","true"
"15","323.7168989607931","144.2436103338533","4.700617273340894","-0.3120030136653","0.02978515625","0.01953125","0.0400390625","1500","0.0002270147748259224","0","0.0002270147748259224","0.0002270147748259224","15_22:0.010698626367337372","15_22:660","true"
