"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","340.81924376085345","88.06471750061007","4.786312026177887","-0.2852566341849986","0.02299999999999991","0.0196","0.02639999999999998","835.5555555555555","0.00043814520288085516","0","0.00043814520288085516","0.00043814520288085516","","","true"
"1","516.2585760912583","383.31517745113894","4.834497451058296","-0.3106941478695178","0.025399999999999978","0.0162","0.034599999999999964","835.5555555555555","0.0007463556283025015","0","0.0007463556283025015","0.0007463556283025015","1_0:0.0072002712721196405","1_0:593.7777777777777","true"
"2","310.2283912073155","432.2371406555009","4.713585784737397","-0.3126886766479872","0.027200000000000002","0.0272","0.027200000000000002","835.5555555555555","0.00019225750341475732","0","0.00019225750341475732","0.00019225750341475732","2_1:0.007996252634156514","2_1:593.7777777777777","true"
"3","481.8053324973578","216.6852036725916","4.859046625595072","-0.31034359454113686","0.0042999999999999705","0.005199999999999982","0.0034","835.5555555555555","0.00009004340484290507","0","0.00009004340484290507","0.00009004340484290507","3_4:0.0028950863106221303;3_2:0.011682399552473521","3_4:593.7777777777777;3_2:593.7777777777777","true"
"4","218.66891386887522","348.5325275290437","4.801202213531255","-0.3111189159174216","0.008299999999999974","0.009199999999999986","0.0074","835.5555555555555","0.0001188855128303479","0","0.0001188855128303479","0.0001188855128303479","4_15:1","4_15:593.7777777777777","true"
"5","277.41370726583926","318.15140753255736","4.900568165173145","-0.30882064699882933","0.03210000000000002","0.033399999999999985","0.0308","835.5555555555555","0.0001233704788757108","0","0.0001233704788757108","0.0001233704788757108","5_6:0.00854821837460848;5_4:0.002876070012489823","5_6:593.7777777777777;5_4:593.7777777777777","true"
"6","346.44673070773797","366.80268702666314","4.947819327613607","-0.307623639937622","0.013500000000000068","0.0158","0.011199999999999988","835.5555555555555","0.00030069919318622627","0","0.00030069919318622627","0.00030069919318622627","6_7:0.01528137556866116","6_7:593.7777777777777","true"
"7","433.3067753042827","191.9142961749268","4.828724998225708","-0.3105046772851977","0.014399999999999968","0.0122","0.016599999999999948","835.5555555555555","0.0002274583750702803","0","0.0002274583750702803","0.0002274583750702803","7_8:0.0070790843754132415","7_8:593.7777777777777","true"
"8","488.6254362019578","86.3902108746858","4.7447349281927576","-0.3114301472923753","0.00990000000000002","0.0124","0.007399999999999962","835.5555555555555","0.00014185059353404765","0","0.00014185059353404765","0.00014185059353404765","8_16:0.0108724304575889","8_16:593.7777777777777","true"
"9","450.08930429058336","45.41359287519263","4.833299021371565","-0.3104450030412055","0.010699999999999932","0.0104","0.01100000000000001","835.5555555555555","0.00024162942390021009","0","0.00024162942390021009","0.00024162942390021009","9_8:0.004980380756246322;9_10:0.008839469657892923","9_8:593.7777777777777;9_10:593.7777777777777","true"
