"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","330.70157924492656","243.5986487025429","4.831738070025767","-0.30860091520604865","0.006103515625","0.00634765625","0.005859375","1600","0.00010338758205212884","0","0.00010338758205212884","0.00010338758205212884","0_14:0.00916512306705869","0_14:660","true"
"1","544.1077028853149","87.41676114082179","4.735941133577996","-0.3106735526140353","0.1455078125","0.07275390625","0.21826171875","1600","0.0002790231480843859","0","0.0002790231480843859","0.0002790231480843859","1_0:0.013654779111600734","1_0:660","true"
"2","104.23828616776086","68.51719311467406","4.86055136992242","-0.30815586785193605","0.04931640625","0.02685546875","0.07177734375","1600","0.0003216465532253052","0","0.0003216465532253052","0.0003216465532253052","2_1:0.014245059330906473;2_3:0.0113609146226345","2_1:660;2_3:660","true"
"3","169.69796196430238","47.866185268446564","4.680559159214748","-0.3117956042789839","0.02294921875","0.0322265625","0.013671875","1600","0.0004391797545846102","0","0.0004391797545846102","0.0004391797545846102","3_4:0.015701096715157625","3_4:660","true"
"4","523.4488129977465","322.5337492088935","4.8467667845092155","-0.3089581979409952","0.0048828125","0.00341796875","0.00634765625","1600","0.00014070757382029966","0","0.00014070757382029966","0.00014070757382029966","4_5:0.0037306754313693458","4_5:660","true"
"5","332.3074906103973","182.28171704561237","4.718063056293358","-0.310577093532681","0.013916015625","0.00830078125","0.01953125","1600","0.0001695634770490502","0","0.0001695634770490502","0.0001695634770490502","","","true"
"6","401.5174979017461","261.9210370248261","4.6367541857783126","-0.3106205490386331","0.01171875","0.01025390625","0.01318359375","1600","0.00015106729043034485","0","0.00015106729043034485","0.00015106729043034485","6_5:0.00547677236377786;6_7:0.007543504236316112","6_5:660;6_7:660","true"
"7","405.9982979221649","73.77975130770511","4.755447451241161","-0.30909078313021016","0.009765625","0.00927734375","0.01025390625","1600","0.0001255570317815216","0","0.0001255570317815216","0.0001255570317815216","7_8:0.005127062627758527","7_8:660","true"
"8","441.87393326182996","39.16607164662687","4.849638430469743","-0.3089940151149966","0.06494140625","0.0654296875","0.064453125","1600","0.0002129747269586266","0","0.0002129747269586266","0.0002129747269586266","8_16:0.007119573613580954","8_16:660","true"
"9","513.6073399731854","36.2146577567608","4.593748520436983","-0.31335701694782153","0.02734375","0.0263671875","0.0283203125","1600","0.00021163388271805447","0","0.00021163388271805447","0.00021163388271805447","9_8:0.012714660541880085;9_10:0.012570661283426765","9_8:660;9_10:660","true"
"10","242.5168261132877","263.54370763515334","4.723805676469541","-0.31036231695754807","0.0390625","0.06005859375","0.01806640625","1600","0.0004399228294789034","0","0.0004399228294789034","0.0004399228294789034","","","true"
"11","111.86331411029057","60.75277901918483","4.6225213758565875","-0.3054330870259268","0.035888671875","0.0166015625","0.05517578125","1600","0.00028048232472094813","0","0.00028048232472094813","0.00028048232472094813","11_10:0.01417532799598592","11_10:660","true"
"12","447.3419151468909","84.46049246239426","4.664548200782165","-0.31179147161747606","0.028564453125","0.0244140625","0.03271484375","1600","0.00027456290754797775","0","0.00027456290754797775","0.00027456290754797775","12_13:0.004034489702948951;12_17:0.010414326635237114;12_11:0.005300092482371455","12_13:660;12_17:660;12_11:660","true"
"13","541.8262168885557","77.98741204909128","4.547293139625473","-0.31263942489957386","0.0625","0.0986328125","0.0263671875","1600","0.0003764792744136613","0","0.0003764792744136613","0.0003764792744136613","","","true"
"14","143.87371913904826","60.12830899527956","4.947075468238471","-0.3068704872695069","0.021728515625","0.01953125","0.02392578125","1600","0.00028667044600602214","0","0.00028667044600602214","0.00028667044600602214","14_18:0.009573937573846725","14_18:660","true"
"15","470.2320546410442","41.06856709930243","4.6536163764776015","-0.3123903340927562","0.054443359375","0.06298828125","0.0458984375","1600","0.0009542129940807027","0","0.0009542129940807027","0.0009542129940807027","15_4:0.0336435227437929;15_22:0.017974082975498573","15_4:660;15_22:660","true"
"16","447.6837695305106","234.90266929041815","4.606476770521459","-0.3113554066882175","0.02001953125","0.01171875","0.0283203125","1600","0.00014184792920029485","0","0.00014184792920029485","0.00014184792920029485","","","true"
"17","144.55526693462738","225.48626231312585","4.896835701726305","-0.3069253529005603","0.0078125","0.00634765625","0.00927734375","1600","0.00028804393849919316","0","0.00028804393849919316","0.00028804393849919316","","","true"
"18","342.8590870718146","309.2170117027988","4.860686200518232","-0.3088715365068852","0.06982421875","0.0634765625","0.076171875","1600","0.0002883163015363072","0","0.0002883163015363072","0.0002883163015363072","18_19:0.011086306156916526","18_19:372","true"
"19","441.76943667409614","7.5028021235407225","4.612688269404322","-0.31243870301434334","0.10693359375","0.06591796875","0.14794921875","1600","0.0005292171492829401","0","0.0005292171492829401","0.0005292171492829401","19_20:0.05888005576967015","19_20:660","true"
"20","230.6259862738301","14.068418780114266","4.850492488892146","-0.30788100126352075","0.061767578125","0.04345703125","0.080078125","1600","0.0008334541558109536","0","0.0008334541558109536","0.0008334541558109536","20_21:0.022083200456491814","20_21:660","true"
"21","547.2110066566637","20.09832696387282","4.677700340030107","-0.3101214218703803","0.04052734375","0.01513671875","0.06591796875","1600","0.0004348037436994439","0","0.0004348037436994439","0.0004348037436994439","21_22:0.0178657854986633","21_22:660","true"
