2025-04-28 18:24:50.236549
QEC Code: 7_1_3
Task: Noise-Free Training for H Gate
Training for 160 data......
	 batch: 1 | Cost: 0.5865981521793429
	 batch: 2 | Cost: 0.5595445335354052
	 batch: 3 | Cost: 0.5199388682351654
	 batch: 4 | Cost: 0.4913976236420585
	 batch: 5 | Cost: 0.4458740835771991
	 batch: 6 | Cost: 0.40094515497995803
	 batch: 7 | Cost: 0.33557213725337054
	 batch: 8 | Cost: 0.2440752416550886
Epoch: 1 | Cost: 0.4479932243821985
	 batch: 1 | Cost: 0.15668148665991208
	 batch: 2 | Cost: 0.08088923498226315
	 batch: 3 | Cost: 0.04233311629304878
	 batch: 4 | Cost: 0.029745124135248997
	 batch: 5 | Cost: 0.044888036049784995
	 batch: 6 | Cost: 0.04865588196145641
	 batch: 7 | Cost: 0.03805068396224836
	 batch: 8 | Cost: 0.02567130263679567
Epoch: 2 | Cost: 0.058364358335094804
	 batch: 1 | Cost: 0.023605615333794915
	 batch: 2 | Cost: 0.019595650228025424
	 batch: 3 | Cost: 0.01807256546565427
	 batch: 4 | Cost: 0.014900937944025439
	 batch: 5 | Cost: 0.013138118821517181
	 batch: 6 | Cost: 0.010568980677462458
	 batch: 7 | Cost: 0.008376797008639253
	 batch: 8 | Cost: 0.007285399191855069
Epoch: 3 | Cost: 0.01444300808387175
	 batch: 1 | Cost: 0.006071025033776561
	 batch: 2 | Cost: 0.005243408843040148
	 batch: 3 | Cost: 0.004293325074099186
	 batch: 4 | Cost: 0.0036855721719702026
	 batch: 5 | Cost: 0.0026941397589353875
	 batch: 6 | Cost: 0.0019204267002364828
	 batch: 7 | Cost: 0.0015630615184871965
	 batch: 8 | Cost: 0.0014132011775994824
Epoch: 4 | Cost: 0.003360520034768081
	 batch: 1 | Cost: 0.001140144271821758
	 batch: 2 | Cost: 0.000977458191327396
	 batch: 3 | Cost: 0.0008351348413204174
	 batch: 4 | Cost: 0.0008016339063697586
	 batch: 5 | Cost: 0.0006735382584771188
	 batch: 6 | Cost: 0.0005850165044762656
	 batch: 7 | Cost: 0.0004963193813090183
	 batch: 8 | Cost: 0.0004304750555836734
Epoch: 5 | Cost: 0.0007424650513356758
	 batch: 1 | Cost: 0.00033248335287541786
	 batch: 2 | Cost: 0.00029493852237989505
	 batch: 3 | Cost: 0.00023491719770487584
	 batch: 4 | Cost: 0.00023044984945403413
	 batch: 5 | Cost: 0.00019234492655093027
	 batch: 6 | Cost: 0.0001788402103245268
	 batch: 7 | Cost: 0.0001615842128049383
	 batch: 8 | Cost: 0.0001513682201469968
Epoch: 6 | Cost: 0.0002221158115302019
	 batch: 1 | Cost: 0.0001299806157881056
	 batch: 2 | Cost: 0.00012002184749722033
	 batch: 3 | Cost: 0.00010543440809133165
	 batch: 4 | Cost: 9.87006551670222e-05
	 batch: 5 | Cost: 8.78901317977132e-05
	 batch: 6 | Cost: 7.838252367465825e-05
	 batch: 7 | Cost: 7.493207406149005e-05
	 batch: 8 | Cost: 7.164580690407484e-05
Epoch: 7 | Cost: 9.5873507872702e-05
	 batch: 1 | Cost: 7.16263904725456e-05
	 batch: 2 | Cost: 6.288755488078612e-05
	 batch: 3 | Cost: 6.20318224354821e-05
	 batch: 4 | Cost: 5.653200369690192e-05
	 batch: 5 | Cost: 5.440554280595755e-05
	 batch: 6 | Cost: 4.695311977343519e-05
	 batch: 7 | Cost: 4.685070027059535e-05
	 batch: 8 | Cost: 4.4181101693208104e-05
Epoch: 8 | Cost: 5.568352950361399e-05
	 batch: 1 | Cost: 4.752333576330536e-05
	 batch: 2 | Cost: 3.9076411166427684e-05
	 batch: 3 | Cost: 4.015960311493649e-05
	 batch: 4 | Cost: 3.528337793231029e-05
	 batch: 5 | Cost: 3.5058585811459375e-05
	 batch: 6 | Cost: 2.9669505826368513e-05
	 batch: 7 | Cost: 3.0266804665973757e-05
	 batch: 8 | Cost: 2.823436041878291e-05
Epoch: 9 | Cost: 3.565899808744555e-05
	 batch: 1 | Cost: 3.152699020687044e-05
	 batch: 2 | Cost: 2.5137825276566605e-05
	 batch: 3 | Cost: 2.628416881136908e-05
	 batch: 4 | Cost: 2.2445692445688394e-05
	 batch: 5 | Cost: 2.2599342298323944e-05
	 batch: 6 | Cost: 1.888140855323961e-05
	 batch: 7 | Cost: 1.9405588634102688e-05
	 batch: 8 | Cost: 1.798952053337355e-05
Epoch: 10 | Cost: 2.3033817094941788e-05
	 batch: 1 | Cost: 2.0482555827844307e-05
	 batch: 2 | Cost: 1.6135013163298685e-05
	 batch: 3 | Cost: 1.706520463495287e-05
	 batch: 4 | Cost: 1.4390262176916524e-05
	 batch: 5 | Cost: 1.4628221528406594e-05
	 batch: 6 | Cost: 1.2174356195110425e-05
	 batch: 7 | Cost: 1.2558897263759139e-05
